,country,life_expectancy,rmnch_by_wealth,air_polution,basic_sanitation,inequality,violence,water_quality
0,Algeria,77.1,76.92,35.2,88.0,0.749,713.0,94.0
1,Angola,63.1,46.730000000000004,27.9,49.0,0.731,2928.0,56.0
2,Armenia,76.0,68.44,30.5,93.0,0.663,112.0,100.0
3,Azerbaijan,71.4,46.690000000000005,18.2,92.0,0.654,252.0,91.0
4,Bangladesh,74.3,65.63,58.3,47.0,0.678,4623.0,97.0
5,Belize,74.4,77.01,21.2,88.0,0.803,146.0,98.0
6,Benin,63.4,49.72,33.1,16.0,0.707,726.0,66.0
7,Bosnia and Herzegovina,76.8,67.15,27.3,95.0,0.642,49.0,96.0
8,Brazil,75.9,75.11,11.5,87.0,0.849,68779.0,98.0
9,Burkina Faso,62.7,53.98,36.8,19.0,0.688,1943.0,48.0
10,Burundi,63.8,62.85000000000001,35.6,46.0,0.681,760.0,61.0
11,Cambodia,70.1,69.71000000000001,24.0,57.0,0.718,347.0,79.0
12,Cameroon,62.4,48.46,65.3,39.0,0.743,1666.0,60.0
13,Chad,59.6,28.49,53.0,9.0,0.73,1430.0,39.0
14,Colombia,79.3,79.91,15.2,89.0,0.77,19268.0,97.0
15,Comoros,67.4,52.3,18.6,36.0,0.783,63.0,80.0
16,Costa Rica,80.8,83.25000000000001,15.9,98.0,0.75,635.0,100.0
17,Egypt,71.8,78.15,79.3,94.0,0.756,4165.0,99.0
18,El Salvador,75.0,86.78,23.4,87.0,0.743,5485.0,97.0
19,Ethiopia,68.7,46.169999999999995,34.4,7.0,0.62,8076.0,41.0
20,Gabon,66.5,58.07000000000001,38.5,47.0,0.719,184.0,86.0
21,Gambia,65.5,59.95000000000001,32.2,39.0,0.771,195.0,78.0
22,Ghana,66.3,63.03000000000001,31.9,18.0,0.699,1857.0,81.0
23,Guinea,61.0,41.25,22.4,22.0,0.741,1128.0,62.0
24,Guinea-Bissau,60.2,52.61999999999999,27.1,20.0,0.712,173.0,67.0
25,Guyana,65.7,72.22500000000001,20.5,86.0,0.734,194.0,96.0
26,Haiti,64.1,51.48,14.6,34.0,0.801,2330.0,65.0
27,India,70.8,72.45,65.2,57.0,0.832,51767.0,93.0
28,Indonesia,71.3,76.14999999999999,15.6,71.0,0.833,11606.0,89.0
29,Iraq,72.4,62.96,57.7,92.0,0.633,5658.0,97.0
30,Jordan,77.9,73.89000000000001,32.1,97.0,0.696,269.0,99.0
31,Kazakhstan,74.0,85.49999999999999,11.3,98.0,0.772,949.0,96.0
32,Kenya,66.1,70.13000000000001,25.9,29.0,0.745,2942.0,59.0
33,Kyrgyzstan,74.2,76.61111111111113,18.1,97.0,0.681,294.0,87.0
34,Liberia,64.1,60.88000000000001,17.2,17.0,0.727,477.0,73.0
35,Malawi,65.6,77.08000000000001,22.1,26.0,0.751,406.0,69.0
36,Maldives,79.6,71.69000000000001,7.6,99.0,0.724,10.0,99.0
37,Mali,62.8,45.49,31.2,38.0,0.707,2095.0,78.0
38,Mauritania,68.4,49.989999999999995,40.8,46.0,0.681,491.0,71.0
39,Mexico,76.0,81.88,20.1,90.0,0.777,32450.0,99.0
40,Mongolia,68.1,80.64,40.4,58.0,0.668,197.0,83.0
41,Montenegro,75.9,65.575,20.2,98.0,0.648,18.0,97.0
42,Morocco,73.0,61.529999999999994,31.0,88.0,0.766,632.0,87.0
43,Mozambique,58.1,62.25,19.4,28.0,0.716,1113.0,56.0
44,Myanmar,69.1,69.69,34.7,65.0,0.597,2124.0,82.0
45,Namibia,64.6,76.95,22.6,34.0,0.788,450.0,83.0
46,Nepal,70.9,65.11,94.3,59.0,0.71,704.0,89.0
47,Niger,63.3,44.779999999999994,70.8,13.0,0.682,2244.0,50.0
48,Nigeria,62.6,39.1,48.7,38.0,0.809,18407.0,71.0
49,Pakistan,65.6,61.99000000000001,55.2,58.0,0.665,12925.0,91.0
50,Panama,79.3,81.18999999999998,11.2,82.0,0.78,730.0,96.0
51,Paraguay,75.8,81.76000000000002,11.2,89.0,0.768,566.0,100.0
52,Peru,79.9,72.0,24.3,74.0,0.788,3013.0,91.0
53,Philippines,70.4,71.48,18.4,75.0,0.837,14835.0,94.0
54,Rwanda,69.1,68.16,40.7,65.0,0.742,548.0,58.0
55,Sao Tome and Principe,70.4,73.59,25.7,43.0,0.674,12.0,84.0
56,Senegal,68.6,62.56999999999999,37.5,51.0,0.726,1247.0,81.0
57,Sierra Leone,60.8,71.5,20.6,15.0,0.694,618.0,61.0
58,South Africa,65.3,75.28999999999999,23.6,75.0,0.806,21000.0,93.0
59,Sudan,69.1,52.54,47.9,36.0,0.687,2478.0,60.0
60,Tajikistan,69.5,71.99,40.0,97.0,0.656,170.0,81.0
61,Thailand,77.7,88.73,26.2,98.0,0.846,2965.0,100.0
62,Timor-Leste,69.6,62.61,17.9,52.0,0.565,60.0,78.0
63,Togo,64.3,46.57000000000001,32.7,16.0,0.734,723.0,65.0
64,Tunisia,77.0,78.63,35.7,91.0,0.705,410.0,96.0
65,Turkey,78.6,53.529999999999994,42.0,97.0,0.794,4010.0,99.0
66,Turkmenistan,69.7,80.58571428571429,19.0,98.0,0.63,169.0,99.0
67,Uganda,66.7,65.12,48.4,18.0,0.729,6175.0,49.0
68,Ukraine,73.0,79.03,18.3,96.0,0.241,2765.0,94.0
69,Yemen,66.6,42.49,45.0,59.0,0.798,2839.0,63.0
70,Zambia,62.5,70.37,24.7,26.0,0.798,1153.0,60.0
71,Zimbabwe,60.7,76.16,19.4,37.0,0.719,1916.0,64.0
