"country","giniCoefficient","pop2021"
"Netherlands","0.9020","17173.0990"
"Russia","0.8790","145912.0250"
"Sweden","0.8670","10160.1690"
"United States","0.8520","332915.0730"
"Brazil","0.8490","213993.4370"
"Thailand","0.8460","69950.8500"
"Denmark","0.8380","5813.2980"
"Philippines","0.8370","111046.9130"
"Saudi Arabia","0.8340","35340.6830"
"Indonesia","0.8330","276361.7830"
"Suriname","0.8320","591.8000"
"India","0.8320","1393409.0380"
"Bahamas","0.8280","396.9130"
"Grenada","0.8270","113.0210"
"Dominica","0.8230","72.1670"
"Antigua and Barbuda","0.8230","98.7310"
"Lebanon","0.8190","6769.1460"
"Saint Vincent and the Grenadines","0.8180","111.2630"
"Germany","0.8160","83900.4730"
"Nigeria","0.8090","211400.7080"
"South Africa","0.8060","60041.9940"
"Lesotho","0.8050","2159.0790"
"Belize","0.8030","404.9140"
"Cyprus","0.8010","1215.5840"
"Haiti","0.8010","11541.6850"
"Botswana","0.8000","2397.2410"
"Norway","0.7980","5465.6300"
"Zambia","0.7980","18920.6510"
"Chile","0.7980","19212.3610"
"Yemen","0.7980","30490.6400"
"Ireland","0.7960","4982.9070"
"United Arab Emirates","0.7960","9991.0890"
"Malaysia","0.7960","32776.1940"
"Laos","0.7940","7379.3580"
"Turkey","0.7940","85042.7380"
"Equatorial Guinea","0.7930","1449.8960"
"Latvia","0.7890","1866.9420"
"Namibia","0.7880","2587.3440"
"Peru","0.7880","33359.4180"
"Brunei","0.7870","441.5320"
"Oman","0.7860","5223.3750"
"Comoros","0.7830","888.4510"
"Panama","0.7800","4381.5790"
"Barbados","0.7780","287.7110"
"Central African Republic","0.7770","4919.9810"
"Hong Kong","0.7770","7552.8100"
"Israel","0.7770","8789.7740"
"Mexico","0.7770","130262.2160"
"Jamaica","0.7750","2973.4630"
"Kazakhstan","0.7720","18994.9620"
"Gambia","0.7710","2486.9450"
"Colombia","0.7700","51265.8440"
"Republic of the Congo","0.7690","5657.0130"
"Paraguay","0.7680","7219.6380"
"Argentina","0.7680","45605.8260"
"Papua New Guinea","0.7660","9119.0100"
"Morocco","0.7660","37344.7950"
"Bolivia","0.7640","11832.9400"
"Kuwait","0.7630","4328.5500"
"Vietnam","0.7610","98168.8330"
"Nicaragua","0.7590","6702.3850"
"Ecuador","0.7590","17888.4750"
"Singapore","0.7570","5896.6860"
"Egypt","0.7560","104258.3270"
"DR Congo","0.7550","92377.9930"
"Malawi","0.7510","19647.6840"
"Taiwan","0.7510","23855.0100"
"Costa Rica","0.7500","5139.0520"
"Algeria","0.7490","44616.6240"
"Samoa","0.7470","200.1490"
"Bahrain","0.7470","1748.2960"
"United Kingdom","0.7460","68207.1160"
"Kenya","0.7450","54985.6980"
"El Salvador","0.7430","6518.4990"
"Cameroon","0.7430","27224.2650"
"Venezuela","0.7430","28704.9540"
"Finland","0.7420","5548.3600"
"Rwanda","0.7420","13276.5130"
"Guinea","0.7410","13497.2440"
"Austria","0.7390","9043.0700"
"Guyana","0.7340","790.3260"
"Togo","0.7340","8478.2500"
"Trinidad and Tobago","0.7320","1403.3750"
"Angola","0.7310","33933.6100"
"Chad","0.7300","16914.9850"
"Saint Lucia","0.7290","184.4000"
"Djibouti","0.7290","1002.1870"
"Uganda","0.7290","47123.5310"
"Canada","0.7280","38067.9030"
"Liberia","0.7270","5180.2030"
"Senegal","0.7260","17196.3010"
"Czech Republic","0.7250","10724.5550"
"Maldives","0.7240","543.6170"
"Madagascar","0.7220","28427.3280"
"Uruguay","0.7210","3485.1510"
"Gabon","0.7190","2278.8250"
"Zimbabwe","0.7190","15092.1710"
"Cambodia","0.7180","16946.4380"
"Estonia","0.7160","1325.1850"
"Mozambique","0.7160","32163.0470"
"Guinea-Bissau","0.7120","2015.4940"
"Nepal","0.7100","29674.9200"
"Benin","0.7070","12451.0400"
"Mali","0.7070","20855.7350"
"Switzerland","0.7050","8715.4940"
"Tunisia","0.7050","11935.7660"
"Iran","0.7050","85028.7590"
"Aruba","0.7030","107.2040"
"Fiji","0.7020","902.9060"
"China","0.7020","1444216.1070"
"Solomon Islands","0.7000","703.9960"
"Sri Lanka","0.7000","21497.3100"
"Syria","0.6990","18275.7020"
